mseq,Index,S
1,0,-5.21839
2,1,-4.9246783
3,2,-5.1084981
4,3,-4.0101123
5,4,-6.1748204
6,5,-4.3736267
7,6,-7.2436061
8,7,-8.2979031
9,8,-6.1202116
10,9,-3.888113
11,10,-5.437376
13,12,-5.1988959
14,13,-4.6192222
15,14,-9.4364634
16,15,-5.3001971
18,17,-7.3707047
19,18,-8.0952902
22,21,-8.3103065
23,22,-8.6724749
24,23,-6.2172251
25,24,-3.9681761
26,25,-5.1945496
27,26,-6.0894399
28,27,-8.4805737
29,28,-4.8884754
30,29,-5.2770295
31,30,-6.2152066
32,31,-4.8838167
35,34,-5.307857
36,35,-6.2369862
37,36,-6.6396952
38,37,-5.5337472
39,38,-6.054894
40,39,-5.3127341
41,40,-4.5514097
42,41,-5.143384
43,42,-5.7760658
44,43,-5.8148255
45,44,-6.5177093
46,45,-4.9594097
47,46,-6.2170944
48,47,-6.6998296
49,48,-6.4392061
50,49,-6.3085809
51,50,-7.8519092
52,51,-7.0122504
53,52,-6.2047634
54,53,-5.6010399
55,54,-7.5744791
56,55,-6.798151
57,56,-6.6738777
58,57,-6.4034657
59,58,-5.3392859
60,59,-6.063724
61,60,-6.5738425
62,61,-5.6229887
63,62,-5.9802814
64,63,-5.8776512
65,64,-5.7238793
66,65,-4.8880777
67,66,-5.0873756
68,67,-4.034945
69,68,-5.7181067
70,69,-4.8083563
71,70,-4.5479932
72,71,-5.1475959
73,72,-5.8154655
74,73,-5.4732552
75,74,-8.8275328
76,75,-6.2714901
77,76,-5.9447489
78,77,-5.6380744
79,78,-6.7508936
80,79,-7.3107424
81,80,-6.3693218
82,81,-5.6525636
83,82,-6.342103
84,83,-8.2815256
85,84,-6.2426729
86,85,-6.501173
87,86,-4.4979811
88,87,-4.1610556
89,88,-4.3396473
90,89,-5.852036
91,90,-5.1935649
92,91,-6.5158567
93,92,-5.9841099
94,93,-6.2485065
96,95,-7.1351018
97,96,-4.1122885
100,99,-6.8483467
101,100,-4.7387829
102,101,-4.2750745
103,102,-5.2486773
104,103,-7.8379111
105,104,-8.5495243
106,105,-4.2477803
107,106,-6.9912381
108,107,-4.8007245
109,108,-4.8620744
110,109,-4.7340417
111,110,-6.5752869
112,111,-5.4538031
113,112,-6.7293415
114,113,-6.2634792
115,114,-6.4376245
116,115,-6.0919747
117,116,-5.3840485
118,117,-5.1139269
119,118,-5.2517767
120,119,-5.4364595
121,120,-4.9039836
122,121,-5.9751492
123,122,-5.6414752
124,123,-7.1366081
125,124,-8.6491909
126,125,-5.4886589
127,126,-7.3109288
128,127,-4.3628449
129,128,-5.7380662
130,129,-5.1605721
131,130,-4.0334597
132,131,-4.910831
133,132,-5.3939915
134,133,-5.3645921
135,134,-6.8926263
136,135,-6.4271803
137,136,-3.8116941
138,137,-4.9274907
139,138,-5.6618838
140,139,-5.6492534
141,140,-5.8759723
142,141,-4.572226
143,142,-3.9456325
144,143,-9.5578175
145,144,-4.9604359
146,145,-8.4381351
148,147,-7.1026983
149,148,-5.1990523
150,149,-7.0513144
151,150,-6.3859639
152,151,-7.4232225
153,152,-6.1264133
154,153,-7.0377707
155,154,-4.6570473
156,155,-3.9556491
157,156,-4.3778143
158,157,-4.1834183
159,158,-5.3306332
160,159,-6.4718189
161,160,-6.0148072
162,161,-5.3197031
163,162,-5.8261771
164,163,-4.603394
165,164,-7.5957627
166,165,-4.6690879
167,166,-6.2629275
168,167,-4.0654798
169,168,-6.0656619
170,169,-5.1875982
171,170,-6.2918978
172,171,-4.2785339
173,172,-6.9824662
174,173,-5.4176192
175,174,-4.7982955
176,175,-4.4500523
177,176,-5.3958282
178,177,-4.4060555
179,178,-7.2171135
180,179,-5.2221417
181,180,-8.4775991
182,181,-4.4731998
183,182,-5.3212562
184,183,-6.19102
185,184,-5.0177536
186,185,-8.1067972
187,186,-5.124959
188,187,-6.073843
189,188,-4.6674051
190,189,-7.1042914
191,190,-5.9313993
192,191,-5.6220884
193,192,-7.7879891
194,193,-4.345603
195,194,-6.39149
196,195,-5.5729494
197,196,-4.3200407
198,197,-6.1962881
199,198,-5.3131847
200,199,-4.4735661
201,200,-4.6943197
202,201,-5.5382719
203,202,-3.9357963
204,203,-6.04075
205,204,-4.1974587
206,205,-4.9256144
207,206,-5.242393
208,207,-4.6422858
209,208,-7.4554214
210,209,-4.730022
211,210,-6.5346613
212,211,-7.2279396
213,212,-7.7903562
214,213,-4.8795052
215,214,-6.0280514
217,216,-4.9426436
218,217,-5.0710611
219,218,-5.7206564
220,219,-6.5126181
221,220,-4.8623304
222,221,-5.1616011
223,222,-4.4261584
224,223,-4.439086
225,224,-5.7313223
226,225,-6.2769017
227,226,-4.0292716
228,227,-5.4104066
229,228,-4.8421121
230,229,-5.1685262
231,230,-6.3014216
232,231,-5.9588346
233,232,-4.6358519
234,233,-8.2421894
235,234,-8.7367697
236,235,-5.2093024
237,236,-6.040297
238,237,-6.3233066
239,238,-6.3232856
240,239,-5.7124009
241,240,-4.9892726
242,241,-7.7823935
243,242,-4.9730844
244,243,-6.617537
245,244,-7.5987563
246,245,-6.4147749
247,246,-5.0438747
248,247,-5.6666703
249,248,-5.273819
250,249,-6.8668723
251,250,-5.9191899
252,251,-5.6376119
253,252,-7.7332034
254,253,-5.3100839
255,254,-8.5567169
256,255,-6.5818081
257,256,-5.6566696
258,257,-7.1823483
259,258,-6.2135119
260,259,-5.3390522
261,260,-5.6165514
262,261,-4.951407
263,262,-4.5715566
264,263,-5.9087009
265,264,-6.640439
266,265,-8.1985712
267,266,-6.0508566
268,267,-5.4750519
269,268,-6.7409897
270,269,-4.5947356
271,270,-5.2922368
272,271,-4.6170774
273,272,-5.4143581
274,273,-3.8948338
275,274,-5.1373148
276,275,-6.3348837
277,276,-5.013876
278,277,-5.5097904
279,278,-6.660955
280,279,-4.1030798
281,280,-5.5503378
282,281,-4.1942015
283,282,-4.3684902
284,283,-4.2819834
285,284,-4.6019516
286,285,-6.5798736
288,287,-9.5652227
290,289,-8.5606833
291,290,-5.4955759
292,291,-5.1037412
293,292,-4.3359485
294,293,-3.9010372
295,294,-4.9144964
296,295,-5.4144235
297,296,-4.6368494
298,297,-5.4302979
299,298,-5.9216619
300,299,-8.437911
301,300,-6.1570501
302,301,-4.6414242
303,302,-4.4043207
304,303,-3.918968
305,304,-4.0442877
306,305,-6.9363666
307,306,-7.5427237
308,307,-5.3335385
309,308,-5.8730264
310,309,-5.137732
311,310,-4.7006741
312,311,-5.4364128
313,312,-4.6832342
314,313,-5.3735065
315,314,-5.1243153
316,315,-6.2265568
317,316,-4.2503324
