Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Docking Score
CCOC(=O)/C=C/C(F)(F)C(F)(F)C(F)(F)F,268.128,2.938600000000001,91.03805794645582,26.3,0.0,2.0,4.0,0.0,-5.6990829
CC(C)OC(=O)C[N+](C)(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,749.3760000000003,6.800700000000005,248.47059354721372,55.4,1.0,3.0,16.0,0.0,-8.7098198
C=CC(=O)OCCN(C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,839.3520000000004,7.917900000000006,264.91761013450576,63.68,0.0,4.0,18.0,0.0,-7.416851
C=CCOCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,522.151,6.061600000000003,164.21874879227462,27.69,0.0,3.0,10.0,0.0,-7.4167109
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,562.138,5.324000000000004,171.65278984910893,40.46,2.0,2.0,11.0,0.0,-7.2075572
O=S(=O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,744.2070000000003,7.746500000000005,222.5730687037468,63.60000000000001,1.0,3.0,14.0,0.0,-9.009943
CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1SC,364.2819999999999,4.958500000000002,130.22361161836187,37.3,1.0,2.0,4.0,1.0,-6.9094453
C[Si](C)(CCCC(F)(F)C(F)(F)C(F)(F)F)N1CCOCC1,355.3700000000001,4.136800000000004,125.24084789808228,12.47,0.0,2.0,6.0,1.0,-7.2026029
O=C(CCCCC(=O)OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1318.1880000000008,14.039399999999988,379.29470271721846,52.60000000000001,0.0,4.0,25.0,0.0,-9.0986214
FC(F)(F)COC(F)(F)C(F)(F)Cl,234.498,2.9897,72.40963664789156,9.23,0.0,1.0,3.0,0.0,-4.9199929
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccccc2)c1F,530.4150000000002,7.236540000000004,204.84723812311472,58.2,2.0,2.0,5.0,3.0,-8.5066576
N#CC=Cc1ccc(OCC(F)(F)C(F)F)cc1,259.20199999999994,3.502580000000002,101.0997192963729,33.02,0.0,2.0,5.0,1.0,-5.8218398
O=C(O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1(F)F,576.0960000000001,6.145900000000002,174.1797824463537,37.3,1.0,1.0,5.0,1.0,-6.6915965
CCN([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,499.269,3.8119000000000014,159.35937640773716,72.47,1.0,4.0,11.0,0.0,-7.392849
C=C(Br)C(F)(F)C(F)(F)F,224.95399999999995,3.0926,61.83969895910766,0.0,0.0,0.0,1.0,0.0,-4.3117366
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,642.1460000000002,7.766500000000005,196.2465686345286,37.3,1.0,1.0,12.0,0.0,-8.1240139
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,714.1500000000003,8.554700000000002,215.1121302605864,20.23,1.0,1.0,13.0,0.0,-7.5391583
O=C(O)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,414.064,4.6502,124.7326327247391,37.3,1.0,1.0,3.0,0.0,-5.2141414
FC(F)=C(F)OCC(F)(F)C(F)(F)F,230.05399999999997,3.2357000000000005,71.94724490614847,9.23,0.0,1.0,3.0,0.0,-4.8222499
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,802.0740000000004,9.920000000000002,232.62006451318908,37.3,1.0,1.0,12.0,0.0,-8.3341808
CCN(CCC[N+](C)(C)CCC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,834.4300000000004,6.117400000000004,269.291578154722,77.51,0.0,4.0,19.0,0.0,-8.9776411
O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,290.134,3.674200000000001,101.00567524980684,37.3,1.0,1.0,3.0,1.0,-5.5963416
O=S(=O)(O)c1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,654.2410000000002,7.429600000000004,206.2785751264247,63.60000000000001,1.0,3.0,10.0,1.0,-8.2257051
O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,782.2090000000003,7.055200000000005,225.8398845074704,77.51,0.0,5.0,12.0,0.0,-8.3314295
CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)C(C)CC,438.3610000000001,4.808800000000003,155.82072631797303,71.44,1.0,3.0,6.0,1.0,-7.411581
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,666.1340000000004,9.2442,199.78741899106757,0.0,0.0,0.0,11.0,0.0,-7.7569175
O=S(=O)(Cc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,374.22399999999993,4.027100000000002,123.3713306996027,34.14,0.0,2.0,5.0,1.0,-6.3092461
N#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,495.079,6.154680000000003,149.56148239446617,23.79,0.0,1.0,7.0,0.0,-6.209969
O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,316.04099999999994,3.586,94.71190853497116,17.07,0.0,1.0,2.0,0.0,-4.9925256
O=C(C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)N1CCCC1,349.1680000000001,3.6202000000000014,116.59460870337928,20.31,0.0,1.0,3.0,1.0,-6.3718739
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,530.533,5.985000000000001,160.2623893891927,37.3,1.0,1.0,9.0,0.0,-6.6728244
FC(F)(F)C(OCC1CO1)(c1ccccc1)C(F)(F)F,300.198,3.4219000000000017,109.83552752891856,21.76,0.0,2.0,4.0,2.0,-5.9535956
O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,608.1130000000002,7.204400000000004,185.02648808502155,37.3,1.0,1.0,10.0,0.0,-7.4456296
Oc1ccc(CCCNCC(F)(F)C(F)(F)F)cc1O,299.239,2.817600000000001,111.58706250850784,52.49,3.0,3.0,6.0,1.0,-6.6429834
CC(C)(C)C(N)=CC(=O)C(F)(F)C(F)(F)C(F)(F)F,295.1979999999999,3.277100000000001,103.99428764275488,43.09,1.0,2.0,3.0,0.0,-5.7470708
FCOC(C(F)(F)F)C(F)(F)F,200.053,2.4232000000000005,62.10637042100989,9.23,0.0,1.0,2.0,0.0,-4.4952526
Oc1ccc(Br)cc1CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,583.1290000000001,7.851500000000006,182.22563666519395,20.23,1.0,1.0,8.0,1.0,-7.79811
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,454.148,6.440800000000003,144.02297466864346,0.0,0.0,0.0,9.0,0.0,-6.5180912
C[N+](C)(CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],477.261,3.7218000000000018,160.56101976206494,40.13,0.0,2.0,11.0,0.0,-7.5822611
O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)F,462.13,4.0007,136.3996817290107,54.370000000000005,1.0,2.0,2.0,1.0,-5.5713863
FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,464.09,6.479000000000003,140.31376427788695,0.0,0.0,0.0,6.0,0.0,-6.2117229
CCC(OC(=O)C(C(=O)[O-])C(F)(F)F)(C(F)(F)F)C(F)(F)F,349.12499999999994,1.7314,115.37942975112892,66.43,0.0,4.0,4.0,0.0,-6.1349421
O=C=Nc1ccc2c(c1)C(F)(F)OC(F)(F)O2,249.11899999999991,2.6625000000000005,91.46647496578014,47.89,0.0,4.0,1.0,2.0,-5.2260628
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,346.086,4.911200000000001,106.7562030344626,0.0,0.0,0.0,5.0,0.0,-5.3625698
O=C(O)C(F)(Cl)C(F)(F)F,180.484,1.5379,57.39029894744916,37.3,1.0,1.0,1.0,0.0,-4.0520496
FC(F)(C(Cl)(Cl)Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(Cl)(Cl)Cl,519.685,7.4419,162.67931675267246,0.0,0.0,0.0,4.0,0.0,-6.1852436
OC(CCl)(c1ccc(F)cc1F)C(F)(F)C(F)(F)C(F)(F)F,360.6029999999999,4.224100000000001,121.84343229689378,20.23,1.0,1.0,4.0,1.0,-5.842844
FC(F)(Cl)C(F)(F)Cl,170.92000000000002,2.6495999999999995,52.37286720769444,0.0,0.0,0.0,1.0,0.0,-3.9686353
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,414.064,4.4451,124.7326327247391,37.3,1.0,1.0,5.0,0.0,-5.8816051
COC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,544.104,5.735700000000002,165.9224573864516,35.53,0.0,3.0,9.0,0.0,-6.8812194
Cc1cc(Br)c(N)c(C(O)(C(F)(F)F)C(F)(F)F)c1,352.072,3.651920000000001,111.88605604949088,46.25,2.0,2.0,1.0,1.0,-5.5661497
FC(=NN=C(Cl)C(F)(F)F)C(F)(F)F,244.49699999999996,3.0313,77.0568724103399,24.72,0.0,2.0,1.0,0.0,-4.7288222
FC(OC(F)(F)C(F)F)C(F)(F)F,218.04299999999995,2.7188,66.27190582393614,9.23,0.0,1.0,3.0,0.0,-4.5617471
CCCSc1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1CC,392.3360000000001,5.738700000000002,142.95349584715512,37.3,1.0,2.0,6.0,1.0,-7.1059742
F/C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,382.066,5.505600000000001,115.08727384031506,0.0,0.0,0.0,5.0,0.0,-5.651762
CCC(=O)C(C)=C(F)C(F)(F)F,184.132,2.771300000000001,67.06296439377365,17.07,0.0,1.0,2.0,0.0,-5.1319847
O=C(CCF)C(F)(F)C(F)(F)F,194.074,2.1127,63.35375400301716,17.07,0.0,1.0,3.0,0.0,-4.7518167
O=S(=O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,714.1810000000003,7.424800000000004,210.88557748378528,54.370000000000005,1.0,2.0,12.0,0.0,-7.8045111
NC(=O)C(F)C(F)(F)F,145.055,0.3721000000000002,47.63268966538418,43.09,1.0,1.0,1.0,0.0,-4.0918846
CC(F)(F)C(F)(F)OC(F)(C(=O)O)C(F)(F)F,276.07899999999995,2.5637,87.95754590496912,46.53,1.0,2.0,4.0,0.0,-5.1900616
O=P(O)(O)CCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,726.1130000000003,7.264300000000006,217.3179142771528,85.22000000000001,2.0,4.0,12.0,0.0,-8.145813
C[N+](C)(CCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O,732.2670000000002,7.790900000000007,231.84167765183997,37.3,1.0,1.0,15.0,0.0,-9.6542702
FC(F)(F)C(F)(F)C(F)(F)COCC1CO1,256.117,2.2347,85.30891084017736,21.76,0.0,2.0,5.0,1.0,-5.4341483
CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,606.1660000000002,7.219600000000004,188.234809305987,26.3,0.0,2.0,11.0,0.0,-7.6628556
CCCCCCCCCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,697.4480000000003,7.810400000000006,231.96361846596932,74.68,1.0,3.0,19.0,0.0,-9.2218418
FC1=C(I)C(F)(F)C(F)(F)C(F)(F)C1(F)F,369.952,4.1573,95.62018416147885,0.0,0.0,0.0,0.0,1.0,-4.8817353
