Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],417.1429999999999,3.6041,122.48030821184086,93.7,1.0,3.0,5.0,0.0,0.5416666666666666,0.3333333333333333,
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],317.1289999999999,2.3335,93.08828237134271,93.7,1.0,3.0,3.0,0.0,0.5,0.2962962962962963,
CS(=O)(=O)O.OC(C(F)(F)F)C(F)(F)F,264.1429999999999,0.9759,80.25599070434265,74.60000000000001,2.0,3.0,0.0,0.0,0.2962962962962963,0.1724137931034483,
[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[Eu],1070.6930533400011,11.6292,396.798865106757,111.9,3.0,6.0,9.0,0.0,0.2051282051282051,0.3142857142857143,
CC[NH+]1C=CN(C(F)(F)C(F)F)C1.[I-],326.07499999999993,-2.5025999999999984,96.55907089724124,7.680000000000001,1.0,1.0,3.0,1.0,0.0697674418604651,0.0714285714285714,
CCCCCCN.O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,415.243,4.699900000000003,139.8759814211625,63.32000000000001,2.0,2.0,8.0,0.0,0.2631578947368421,0.5666666666666667,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[NH4+],463.1119999999999,3.824699999999999,141.39886060600855,76.63,1.0,2.0,8.0,0.0,0.2058823529411764,0.3333333333333333,
O=P(O)(O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[Na+].[Na+],458.043,-2.4547,179.9937512031219,66.76,2.0,2.0,8.0,0.0,0.175,0.1794871794871795,
N.O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)Cl,497.557,5.511699999999999,151.70212683289026,72.3,2.0,2.0,7.0,0.0,0.2352941176470588,0.5769230769230769,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],386.03899999999993,-0.5209000000000006,138.45001942720197,40.13,0.0,2.0,5.0,0.0,0.3703703703703703,0.5652173913043478,
CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,429.345,3.840100000000003,144.84770523289686,57.2,0.0,3.0,7.0,0.0,0.3870967741935484,0.2352941176470588,
O=S(=O)([O-])c1ccccc1CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],641.3060000000002,1.3457000000000008,223.186644787339,103.37,1.0,5.0,10.0,1.0,0.3023255813953488,0.1956521739130435,
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],584.773,1.3377,188.0351239298536,46.17,1.0,2.0,11.0,0.0,0.3513513513513513,0.225,
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[I-],576.21,0.0671000000000002,169.6337972534399,46.17,1.0,2.0,9.0,0.0,0.3513513513513513,0.225,
CCN(CCCS(=O)(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],671.3230000000002,1.5443,228.49530344570584,94.57999999999998,0.0,5.0,13.0,0.0,0.358974358974359,0.238095238095238,
