PREFERRED NAME,CASRN,SMILES,MOLECULAR FORMULA,AVERAGE MASS,Canonical SMILES
"3-Benzamido-2-fluoro-N-[4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2,6-dimethylphenyl]benzamide",NOCAS_1026730,CC1=CC(=CC(C)=C1NC(=O)C1=C(F)C(NC(=O)C2=CC=CC=C2)=CC=C1)C(F)(C(F)(F)F)C(F)(F)F,C25H18F8N2O2,530.418,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccccc2)c1F
"3-[(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)sulfanyl]benzoic acid",88489-75-2,OC(=O)C1=CC(SC(F)(C(F)(F)F)C(F)(F)F)=CC=C1,C10H5F7O2S,322.2,O=C(O)c1cccc(SC(F)(C(F)(F)F)C(F)(F)F)c1
Perfluoro-2-cyclohexylethane-1-sulfonic acid,558-68-9,OS(=O)(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)F,C8HF15O3S,462.13,O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)F
"Perfluoro-3,5-dimethylhexanoic acid",1144512-35-5,OC(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C8HF15O2,414.07,O=C(O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
3‐[2-(Perfluorododecyl)ethylsulfanyl]propanoic acid,NOCAS_1036186,OC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C17H9F25O2S,752.28,O=C(O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"6-(2,2,3,3-Tetrafluoropropoxy)-1,3-benzothiazol-2-amine",1855907-41-3,NC1=NC2=C(S1)C=C(OCC(F)(F)C(F)F)C=C2,C10H8F4N2OS,280.24,Nc1nc2ccc(OCC(F)(F)C(F)F)cc2s1
Undecafluoropentyl 2-methylprop-2-enoate,89004-77-3,CC(=C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H5F11O2,354.119,C=C(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"1H, 1H, 2H, 2H-[1,2-13C2]perfluorodecylphosphate",NOCAS_893002,OP(O)(=O)O[13CH2][13CH2]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8[13C]2H6F17O4P,546.085,O=P(O)(O)O[13CH2][13CH2]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"1,1,1,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane",51410-38-9,FC(F)C(F)(F)OC(F)C(F)(F)F,C4H2F8O,218.046,FC(OC(F)(F)C(F)F)C(F)(F)F
"4-[(4,4,5,5,6,6,6-Heptafluorohexyl)(dimethyl)silyl]morpholine",197018-78-3,C[Si](C)(CCCC(F)(F)C(F)(F)C(F)(F)F)N1CCOCC1,C12H20F7NOSi,355.372,C[Si](C)(CCCC(F)(F)C(F)(F)C(F)(F)F)N1CCOCC1
Perfucol,105605-66-1,NC(F)(F)C(F)(F)C(F)(F)F.FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,C13H2F25N,647.126,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F.NC(F)(F)C(F)(F)C(F)(F)F
"3-(6-Chloro-1,1,2,2,3,3,4,4,5,5,6,6-dodecafluorohexyl)-3,4,4-trifluoro-1,2l6-oxathietane-2,2-dione",1244856-02-7,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)OS1(=O)=O,C8ClF15O3S,496.57,O=S1(=O)OC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
